ENTRY CONSUMER:
ENTRY PRODUCER:
Produced val1: 48
Produced val2: 83
Produced val2: -14
Produced val1: 47
Produced val2: 15
Produced val1: 55
Produced val2: 235
Produced val1: -33
Produced val2: -8
Produced val2: 149
Produced val2: 121
Produced val2: 262
Produced val2: -73
Produced val2: 190
Produced val2: -41
Produced val1: 43
Produced val2: 226
Produced val1: 98
Produced val2: 126
Produced val2: 272
Produced val2: 36
Produced val2: -89
Produced val2: 68
Produced val2: 67
Produced val2: -71
Produced val2: 82
Produced val2: 230
Produced val2: -38
Produced val2: 223
Produced val1: Produced val2: 60235

Produced val2: 229
Produced val2: 102
Produced val2: -78
Produced val2: 158
Produced val2: 169
Produced val2: 67
Produced val2: 93
Produced val2: -44
Produced val2: 111
Produced val2: -58
Produced val2: 129
Produced val2: 73
Produced val2: -79
Produced val1: -80
Produced val2: 84
Produced val1: -27
Produced val2: 298
Produced val1: -53
Produced val2: 215
Produced val2: 270
Produced val1: -20
Produced val2: 226
Produced val1: -21
Produced val2: 80
Produced val2: 256
Produced val2: 173
Produced val1: -44
Produced val2: 270
Produced val2: 96
Produced val1: 66
Produced val2: 205
Produced val1: -28
Produced val2: 184
Produced val1: 2
Produced val2: 236
Before exit prod2Produced val1: 7
Produced val1: 36
Produced val1: -67
Produced val1: 87
Produced val1: -2
Produced val1: -58
Produced val1: -76
Produced val1: -37
Produced val1: -79
Produced val1: -56
Produced val1: 14
Produced val1: -56
Produced val1: -35
Produced val1: 11
Produced val1: -5
Produced val1: 78
Produced val1: 41
Produced val1: -100
Produced val1: -44
Produced val1: -95
Produced val1: -37
Produced val1: 8
Produced val1: -38
Produced val1: 7
Produced val1: -81
Produced val1: -73
Produced val1: -70
Produced val1: -59
Produced val1: -28
Produced val1: -18
Produced val1: 21
Produced val1: 30
Produced val1: -82
Produced val1: 5
Before exit prod1
Successfully exiting producer
